iter	Accuracy	Logloss
0	0.7795643154	0.6717448226
1	0.7868257261	0.6517569185
2	0.7842323651	0.6361139774
3	0.7946058091	0.6192130818
4	0.7909751037	0.6047443328
5	0.7925311203	0.5906855019
6	0.7904564315	0.5781974171
7	0.7935684647	0.5674309309
8	0.7904564315	0.5597110602
9	0.7935684647	0.5507346914
10	0.7946058091	0.5423137716
11	0.7925311203	0.5351990698
12	0.7935684647	0.5289126602
13	0.7951244813	0.5220394152
14	0.7946058091	0.5157857301
15	0.7935684647	0.5098931599
16	0.7951244813	0.5040038567
17	0.7940871369	0.498882032
18	0.7951244813	0.4949572733
19	0.7951244813	0.4911771114
20	0.7956431535	0.4877484287
21	0.7966804979	0.4844601196
22	0.7971991701	0.4809511683
23	0.7971991701	0.4768356
24	0.7982365145	0.4741042133
25	0.7961618257	0.4716562549
26	0.7982365145	0.4693288897
27	0.7987551867	0.4662998066
28	0.7997925311	0.4637572822
29	0.8029045643	0.4616067374
30	0.8049792531	0.4593278694
31	0.8039419087	0.4572611041
32	0.8049792531	0.455308599
33	0.8060165975	0.4532799117
34	0.8080912863	0.4511395575
35	0.8086099585	0.4500284413
36	0.8112033195	0.4484569116
37	0.8117219917	0.4468426814
38	0.8117219917	0.4458363394
39	0.8132780083	0.4444163244
40	0.8137966805	0.4430319406
41	0.8137966805	0.4418408618
42	0.8158713693	0.4404281659
43	0.8169087137	0.4385590841
44	0.8169087137	0.4372589721
45	0.8163900415	0.4360993492
46	0.8158713693	0.435163173
47	0.8184647303	0.4340598959
48	0.8184647303	0.4331170392
49	0.8189834025	0.4324582739
50	0.8174273859	0.431587141
51	0.8179460581	0.4306612286
52	0.8205394191	0.4297838202
53	0.8189834025	0.4288412004
54	0.8195020747	0.4277977426
55	0.8210580913	0.4267291158
56	0.8205394191	0.4261927443
57	0.8236514523	0.4251644372
58	0.8220954357	0.42434703
59	0.8226141079	0.4236619755
60	0.8231327801	0.4230516748
61	0.8210580913	0.4223923638
62	0.8210580913	0.4217446156
63	0.8205394191	0.4211054196
64	0.8205394191	0.4201030754
65	0.8210580913	0.4190764838
66	0.8215767635	0.4178067173
67	0.8210580913	0.4173244872
68	0.8210580913	0.4167731371
69	0.8220954357	0.4155012426
70	0.8210580913	0.4146028354
71	0.8215767635	0.4141688965
72	0.8215767635	0.4132645423
73	0.8220954357	0.412498653
74	0.8226141079	0.4120220956
75	0.8226141079	0.4112494601
76	0.8236514523	0.4106299792
77	0.8236514523	0.4097839122
78	0.8257261411	0.4088484016
79	0.8272821577	0.4081331844
80	0.8272821577	0.4076437133
81	0.8272821577	0.4070035307
82	0.8288381743	0.4059479347
83	0.8293568465	0.4051446102
84	0.8298755187	0.404771708
85	0.8298755187	0.4042819321
86	0.8303941909	0.4038173395
87	0.8303941909	0.4033230769
88	0.8303941909	0.4028746044
89	0.8303941909	0.4023465992
90	0.8298755187	0.4018694976
91	0.8298755187	0.4011470093
92	0.8293568465	0.4008111155
93	0.8309128631	0.4001583381
94	0.8303941909	0.399644315
95	0.8314315353	0.398896496
96	0.8319502075	0.3983091877
97	0.8319502075	0.3979987512
98	0.8319502075	0.3974520125
99	0.8319502075	0.396853047
100	0.8329875519	0.3961859294
101	0.8340248963	0.395673655
102	0.8350622407	0.395073652
103	0.8340248963	0.3942607537
104	0.8345435685	0.3939258517
105	0.8345435685	0.3937785854
106	0.8355809129	0.3933864654
107	0.8355809129	0.3928353271
108	0.8360995851	0.3923698434
109	0.8371369295	0.3915923204
110	0.8366182573	0.3914153655
111	0.8376556017	0.3907169027
112	0.8376556017	0.3904874564
113	0.8381742739	0.3899880058
114	0.8386929461	0.3895182133
115	0.8402489627	0.38886825
116	0.8407676349	0.388361469
117	0.8412863071	0.3876528089
118	0.8418049793	0.3873484514
119	0.8407676349	0.3868893876
120	0.8407676349	0.3864331577
121	0.8412863071	0.3862048352
122	0.8407676349	0.3858568018
123	0.8412863071	0.3854182848
124	0.8412863071	0.3848811815
125	0.8423236515	0.3843495308
126	0.8412863071	0.3837184344
127	0.8428423237	0.3828512723
128	0.8443983402	0.3822008579
129	0.8433609959	0.3816571163
130	0.8443983402	0.381063748
131	0.8443983402	0.3805787582
132	0.8443983402	0.3799855529
133	0.8454356846	0.3797426498
134	0.8454356846	0.3790199856
135	0.8454356846	0.3786150133
136	0.8454356846	0.3781992211
137	0.8454356846	0.377733089
138	0.8459543568	0.3771286509
139	0.8469917012	0.3766038296
140	0.8469917012	0.3760944578
141	0.8469917012	0.3756532853
142	0.8475103734	0.3748343409
143	0.8475103734	0.3743873234
144	0.8480290456	0.3740914091
145	0.8495850622	0.3732316558
146	0.8495850622	0.3729982118
147	0.8511410788	0.3727851428
148	0.851659751	0.3723696928
149	0.8506224066	0.3719525991
150	0.8511410788	0.3715472926
151	0.8506224066	0.3708858656
152	0.851659751	0.3705647796
153	0.8511410788	0.3698403029
154	0.8506224066	0.3692972654
155	0.8526970954	0.3686722242
156	0.8526970954	0.3683948535
157	0.8532157676	0.3676760414
158	0.8537344398	0.3668784676
159	0.8537344398	0.3662753578
160	0.854253112	0.3658340827
161	0.8537344398	0.3651815064
162	0.854253112	0.3646167167
163	0.8552904564	0.364296142
164	0.8552904564	0.3640215796
165	0.8563278008	0.3635346631
166	0.8563278008	0.3629840291
167	0.8563278008	0.3624523797
168	0.856846473	0.3617493768
169	0.8563278008	0.3611411415
170	0.8558091286	0.3609647517
171	0.856846473	0.3604766653
172	0.8578838174	0.3601147453
173	0.8584024896	0.3592809925
174	0.8573651452	0.3586258126
175	0.8578838174	0.3581243658
176	0.859439834	0.3572129729
177	0.8599585062	0.3565274383
178	0.8599585062	0.3558251782
179	0.8599585062	0.35527333
180	0.8604771784	0.3545798184
181	0.8604771784	0.3540161914
182	0.8604771784	0.3533582858
183	0.8604771784	0.3529731187
184	0.8609958506	0.3524739191
185	0.862033195	0.351973984
186	0.862033195	0.3515492331
187	0.8625518672	0.3512268207
188	0.862033195	0.3507182501
189	0.8625518672	0.3503117494
190	0.8630705394	0.3498584728
191	0.8635892116	0.3492219551
192	0.8641078838	0.3484997345
193	0.864626556	0.3479840891
194	0.8641078838	0.3475842973
195	0.8641078838	0.347204625
196	0.8641078838	0.3469127016
