iter	Passed	Remaining
0	52	52123
1	54	27388
2	57	19101
3	60	14942
4	62	12382
5	64	10655
6	66	9411
7	68	8500
8	70	7755
9	73	7290
10	75	6792
11	77	6368
12	79	6004
13	80	5694
14	82	5432
15	84	5209
16	86	5026
17	89	4870
18	91	4704
19	92	4548
20	94	4401
21	95	4265
22	97	4148
23	99	4055
24	101	3964
25	104	3923
26	106	3840
27	108	3758
28	109	3682
29	111	3614
30	113	3550
31	115	3494
32	117	3439
33	119	3396
34	121	3352
35	123	3297
36	124	3248
37	126	3201
38	128	3158
39	130	3123
40	131	3086
41	134	3076
42	136	3039
43	138	3003
44	139	2970
45	141	2939
46	143	2906
47	144	2874
48	147	2856
49	150	2850
50	152	2839
51	154	2822
52	156	2798
53	158	2776
54	160	2752
55	162	2734
56	164	2722
57	166	2705
58	168	2688
59	170	2667
60	171	2646
61	173	2626
62	175	2607
63	177	2589
64	178	2572
65	181	2570
66	183	2555
67	185	2539
68	187	2529
69	189	2514
70	191	2499
71	192	2484
72	194	2471
73	196	2458
74	198	2449
75	200	2435
76	202	2421
77	203	2408
78	205	2394
79	207	2383
80	209	2372
81	210	2358
82	213	2360
83	215	2352
84	217	2339
85	218	2327
86	220	2315
87	222	2306
88	224	2295
89	225	2283
90	228	2283
91	230	2278
92	232	2269
93	234	2259
94	236	2249
95	237	2240
96	239	2232
97	241	2223
98	244	2226
99	247	2223
100	249	2217
101	251	2214
102	253	2209
103	256	2210
104	259	2210
105	262	2212
106	264	2209
107	267	2205
108	268	2196
109	270	2187
110	272	2179
111	274	2175
112	276	2173
113	278	2166
114	280	2158
115	282	2151
116	284	2144
117	285	2136
118	287	2131
119	290	2126
120	292	2125
121	294	2118
122	296	2111
123	297	2103
124	299	2095
125	301	2088
126	302	2082
127	304	2073
128	306	2071
129	309	2070
130	311	2063
131	312	2057
132	314	2051
133	316	2044
134	318	2039
135	320	2033
136	323	2034
137	324	2028
138	326	2023
139	328	2017
140	330	2011
141	331	2004
142	333	1998
143	335	1992
144	338	1994
145	340	1990
146	342	1984
147	343	1979
148	345	1972
149	347	1967
150	349	1963
151	351	1958
152	353	1955
153	355	1950
154	356	1944
155	358	1938
156	360	1934
157	362	1929
158	363	1924
159	365	1919
160	367	1915
161	369	1913
162	371	1908
163	373	1903
164	375	1898
165	376	1893
166	378	1888
167	380	1883
168	382	1879
169	384	1876
170	386	1873
171	388	1868
172	389	1863
173	391	1858
174	393	1854
175	395	1850
176	397	1846
177	399	1843
178	402	1845
179	404	1843
180	406	1839
181	408	1834
182	409	1829
183	411	1825
184	413	1821
185	415	1819
186	418	1817
187	420	1814
188	422	1811
189	424	1807
190	425	1803
191	427	1799
192	429	1795
193	432	1794
194	433	1790
195	435	1787
196	437	1782
197	439	1778
198	440	1774
199	442	1770
200	444	1767
201	448	1771
202	451	1773
203	453	1770
204	455	1766
205	457	1764
206	460	1764
207	462	1762
208	465	1761
209	467	1758
210	469	1754
211	470	1749
212	472	1745
213	474	1741
214	476	1738
215	478	1735
216	480	1735
217	483	1733
218	485	1729
219	486	1725
220	489	1724
221	490	1720
222	492	1716
223	494	1714
224	497	1713
225	499	1709
226	500	1705
227	502	1702
228	504	1698
229	506	1695
230	508	1693
231	511	1693
232	513	1689
233	515	1686
234	517	1683
235	518	1679
236	520	1675
237	522	1672
238	524	1669
239	526	1667
240	529	1666
241	530	1663
242	532	1659
243	534	1655
244	535	1651
245	537	1648
246	539	1645
247	542	1645
248	544	1642
249	546	1638
250	547	1635
251	549	1631
252	551	1628
253	553	1624
254	555	1621
255	557	1620
256	559	1617
257	561	1614
258	563	1610
259	564	1607
260	566	1603
261	568	1600
262	569	1597
263	571	1594
264	574	1594
